society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
dlf the ultima,2.3,sector 81,10994.0,3.0,4.0,3+,6.0,New Property,flat,1893.0,0,0,0,0,0,2,167,"28.3867° N, 76.9485° E",28.3867,76.9485
ss the leaf,1.2,sector 85,9677.0,2.0,2.0,3+,9.0,Relatively New,flat,1491.0,0,0,0,0,0,0,148,"28.4042° N, 76.9513° E",28.4042,76.9513
m3m sierra 68,1.1,sector 68,8987.0,2.0,2.0,3,1.0,Relatively New,flat,1150.0,0,0,0,0,0,1,127,"28.3853° N, 77.0484° E",28.3853,77.0484
signature global solera 2,0.37,sector 107,6679.0,2.0,2.0,2,9.0,New Property,flat,615.0,0,0,0,0,0,0,23,"28.5052° N, 76.9729° E",28.5052,76.9729
ramsons kshitij,0.32,sector 95,4501.0,2.0,2.0,1,8.0,Relatively New,flat,563.0,0,0,0,0,0,2,28,"28.4172° N, 76.9081° E",28.4172,76.9081
bptp terra,1.4,sector 37d,7731.0,3.0,3.0,3,5.0,Relatively New,flat,1711.0,0,0,0,0,0,1,149,"28.4478° N, 76.9703° E",28.4478,76.9703
gls avenue 51,0.21,sector 92,6954.0,1.0,1.0,1,0.0,Relatively New,flat,336.0,0,0,0,0,0,0,63,"28.4079° N, 76.9153° E",28.4079,76.9153
independent,0.4,sector 2,7619.0,2.0,2.0,1,1.0,Relatively New,house,583.0,0,0,0,0,0,0,0,"28.5095° N, 77.0320° E",28.5095,77.032
vatika inxt floors,0.75,sector 82a,7500.0,2.0,2.0,2,1.0,Relatively New,flat,1000.0,0,0,0,0,0,0,0,"28.3858° N, 76.9686° E",28.3858,76.9686
adani m2k oyster grande,2.61,sector 102,10046.0,3.0,3.0,3,14.0,Relatively New,flat,2200.0,0,0,0,0,0,0,21,"28.4750° N, 76.9715° E",28.475,76.9715
dlf the ultima,2.3,sector 81,10937.0,3.0,3.0,3+,19.0,Relatively New,flat,1617.0,0,0,0,0,0,2,49,"28.3867° N, 76.9485° E",28.3867,76.9485
signature global synera,0.5,sector 81,7886.0,2.0,2.0,1,11.0,New Property,flat,704.0,0,0,0,0,0,2,97,"28.3867° N, 76.9485° E",28.3867,76.9485
mapsko royale ville,1.12,sector 82,8000.0,3.0,4.0,2,6.0,Relatively New,flat,1500.0,0,0,0,0,0,1,174,"28.3935° N, 76.9600° E",28.3935,76.96
the nav manesar apartment,0.85,sector 1,3953.0,3.0,3.0,3+,5.0,Moderately Old,flat,1946.0,0,0,0,0,0,0,5,"28.3663° N, 76.9456° E",28.3663,76.9456
signature global city 92,0.78,sector 92,11143.0,2.0,2.0,3,2.0,Under Construction,flat,846.0,0,0,0,0,0,0,24,"28.4079° N, 76.9153° E",28.4079,76.9153
ss the leaf,1.83,sector 85,7609.0,3.0,4.0,3,9.0,Relatively New,flat,1925.0,0,0,0,0,0,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
tulip violet,1.44,sector 69,9125.0,3.0,3.0,2,1.0,Relatively New,flat,1381.0,0,0,0,0,0,0,174,"28.3966° N, 77.0341° E",28.3966,77.0341
rwa sector 46,4.5,sector 46,24390.0,6.0,6.0,3+,3.0,Moderately Old,house,1845.0,0,0,1,0,0,1,80,"28.4374° N, 77.0586° E",28.4374,77.0586
raheja vedaanta,1.25,sector 108,5682.0,3.0,2.0,0,0.0,Relatively New,flat,1991.0,0,0,0,0,0,1,65,"28.5134° N, 76.9830° E",28.5134,76.983
unitech palms south city 1,9.25,sector 41,28549.0,9.0,9.0,3+,4.0,Moderately Old,house,5000.0,1,1,1,1,0,1,65,"28.4557° N, 77.0632° E",28.4557,77.0632
independent,1.15,sector 105,3285.0,3.0,2.0,1,1.0,Moderately Old,house,3889.0,0,0,0,0,0,0,0,"28.4952° N, 77.0114° E",28.4952,77.0114
birla navya,2.2,sector 63a,17488.0,2.0,3.0,3+,4.0,Under Construction,flat,997.0,0,0,0,0,0,0,60,"28.3923° N, 77.0888° E",28.3923,77.0888
pyramid urban homes 2,0.44,sector 86,7321.0,2.0,2.0,2,6.0,Relatively New,flat,668.0,0,0,0,0,0,1,63,"28.3986° N, 76.9384° E",28.3986,76.9384
indiabulls enigma,4.0,sector 110,9850.0,4.0,4.0,3,17.0,New Property,flat,3350.0,0,0,0,0,0,0,59,"28.5145° N, 77.0197° E",28.5145,77.0197
umang winter hills,0.86,sector 77,6408.0,2.0,2.0,2,16.0,New Property,flat,1214.0,0,0,0,0,0,1,79,"28.3801° N, 76.9845° E",28.3801,76.9845
indiabulls enigma,3.3,sector 110,9851.0,4.0,5.0,3,7.0,Relatively New,flat,3032.0,0,0,0,0,0,0,101,"28.5145° N, 77.0197° E",28.5145,77.0197
independent,1.85,sector 1,16003.0,4.0,3.0,2,3.0,Moderately Old,house,1284.0,0,0,0,0,0,0,0,"28.3663° N, 76.9456° E",28.3663,76.9456
dlf the ultima,2.25,sector 81,10553.0,3.0,3.0,3+,6.0,New Property,flat,1929.0,0,0,0,0,0,2,168,"28.3867° N, 76.9485° E",28.3867,76.9485
independent,12.0,sector 28,42194.0,4.0,5.0,3+,4.0,Relatively New,house,2844.0,0,1,1,1,0,1,60,"28.4728° N, 77.0865° E",28.4728,77.0865
chintamani,1.57,sector 103,8509.0,3.0,3.0,3,1.0,Relatively New,flat,1845.0,0,0,0,0,0,0,0,"28.4949° N, 76.9845° E",28.4949,76.9845
parsvnath exotica,6.5,sector 53,19174.0,4.0,5.0,3+,10.0,Relatively New,flat,3000.0,0,0,0,0,0,1,174,"28.4433° N, 77.0948° E",28.4433,77.0948
tulip violet,1.43,sector 69,8888.0,3.0,3.0,2,1.0,Relatively New,flat,1305.0,0,0,0,0,0,0,86,"28.3966° N, 77.0341° E",28.3966,77.0341
ashiana apartment,0.16,sector 23,2051.0,2.0,2.0,2,1.0,Moderately Old,flat,706.0,0,0,0,0,0,0,0,"28.5121° N, 77.0478° E",28.5121,77.0478
senate court,0.9,sector 62,14085.0,1.0,1.0,0,0.0,Relatively New,flat,639.0,0,0,0,0,0,0,0,"28.4139° N, 77.0886° E",28.4139,77.0886
earth copia,0.7,sector 112,4673.0,2.0,2.0,2,4.0,Relatively New,flat,1498.0,0,0,0,0,0,0,65,"28.5189° N, 77.0183° E",28.5189,77.0183
ss residency,0.53,sector 12,4818.0,3.0,3.0,2,2.0,Relatively New,flat,995.0,0,0,0,0,0,1,14,"28.4723° N, 77.0320° E",28.4723,77.032
alpha corp gurgaonone,1.52,sector 84,7904.0,3.0,4.0,3,15.0,Relatively New,flat,1703.0,0,0,0,0,0,0,92,"28.3979° N, 76.9736° E",28.3979,76.9736
indiabulls centrum park,1.9,sector 103,5682.0,3.0,4.0,3+,10.0,Relatively New,flat,3716.0,0,0,0,0,0,1,49,"28.4949° N, 76.9845° E",28.4949,76.9845
smart world orchard,1.5,sector 61,12500.0,2.0,2.0,2,2.0,Under Construction,flat,1333.0,0,0,0,0,0,0,49,"28.4050° N, 77.0963° E",28.405,77.0963
m3m golfestate,6.15,sector 65,18287.0,3.0,3.0,3,23.0,Moderately Old,flat,3027.0,0,0,0,0,0,1,60,"28.4030° N, 77.0690° E",28.403,77.069
unitech uniworld resorts,9.5,sector 33,19333.0,6.0,6.0,3+,3.0,Moderately Old,house,4914.0,0,0,0,0,0,1,40,"28.4420° N, 77.0207° E",28.442,77.0207
breez global heights 88a,0.5,sector 88a,8375.0,3.0,2.0,2,2.0,Under Construction,flat,663.0,0,0,0,0,0,0,15,"28.4347° N, 76.9557° E",28.4347,76.9557
experion windchants,3.0,sector 112,11538.0,3.0,3.0,2,2.0,Relatively New,flat,2600.0,0,0,0,0,0,1,49,"28.5189° N, 77.0183° E",28.5189,77.0183
pareena coban residences,1.1,sector 99a,7097.0,2.0,2.0,3,9.0,New Property,flat,1368.0,0,0,0,0,0,0,88,"28.4561° N, 76.9542° E",28.4561,76.9542
independent,2.3,sector 4,17012.0,4.0,4.0,3,2.0,Old Property,house,160.0,0,0,0,0,0,1,15,"28.4738° N, 77.0107° E",28.4738,77.0107
m3m merlin,4.5,sector 67,14268.0,4.0,4.0,3+,15.0,Relatively New,flat,2854.0,0,0,0,0,0,1,158,"28.3859° N, 77.0608° E",28.3859,77.0608
breez global heights,0.24,sector 36,5825.0,1.0,1.0,1,8.0,New Property,flat,458.0,0,0,0,0,0,1,57,"28.4160° N, 76.9914° E",28.416,76.9914
parsvnath green ville,1.5,sector 48,8787.0,3.0,3.0,3,1.0,Old Property,flat,1600.0,0,0,0,0,0,1,128,"28.4177° N, 77.0359° E",28.4177,77.0359
sbr minda sec-1 imt manesar,0.64,manesar,4194.0,3.0,2.0,3+,6.0,Old Property,flat,1696.0,0,0,0,0,0,0,51,"28.3515° N, 76.9428° E",28.3515,76.9428
ss the leaf,1.1,sector 85,9565.0,2.0,2.0,3,10.0,Relatively New,flat,1600.0,0,0,0,0,0,0,150,"28.4042° N, 76.9513° E",28.4042,76.9513
smart world gems,1.2,sector 89,8433.0,3.0,3.0,2,2.0,New Property,flat,1423.0,0,0,0,0,0,0,45,"28.4253° N, 76.9439° E",28.4253,76.9439
independent,0.55,sector 4,6815.0,2.0,1.0,1,1.0,Moderately Old,house,75.0,0,0,0,0,0,0,0,"28.4738° N, 77.0107° E",28.4738,77.0107
conscient one,1.7,sector 109,17617.0,1.0,1.0,2,9.0,Relatively New,flat,965.0,0,0,0,0,0,0,0,"28.5073° N, 77.0089° E",28.5073,77.0089
eldeco accolade,1.2,sector 33,8043.0,2.0,2.0,2,0.0,Under Construction,flat,1492.0,0,0,0,0,0,0,56,"28.4420° N, 77.0207° E",28.442,77.0207
smart world orchard,2.54,sector 61,15497.0,3.0,3.0,3,2.0,Under Construction,flat,1639.0,0,0,0,0,0,0,16,"28.4050° N, 77.0963° E",28.405,77.0963
